A00-1001	187
E03-1015	6519
E03-1017	3399
E03-1018	558;6449
E03-1019	6496
E03-1020	1954;8833
E03-1021	7738;6793;3519;9202
E03-1022	5871;7391;8775
E03-1023	8413;3407;3066;3310;5805
E03-1024	4271;5925;8138
E03-1025	6591
E03-1026	14462
E03-1027	2164;5925
E03-1028	6368
E03-1029	3586;7894;5286
E03-1030	2606;3871
E03-1031	9147
E03-1032	9264;6051;5893
E03-1033	1526
E03-1034	855;4550
E03-1035	5634
E03-1036	4384;385
E03-1037	7302
E03-1038	1048;13842;15153
E03-1039	6368;3034
E03-1040	3766;7794
E03-1041	2419
E03-1042	759;4200;6099
E03-1043	13706;3688
E03-1044	4308
E03-1045	7224
E03-1046	5354;4081
E03-1047	5561;5944;8313
E03-1048	7894;103;1929;2333;3586;6319;7482;8735
E03-1049	3296
E03-1050	8602
E03-1051	8461;8118;15410;5211
E03-1052	1690;2414;5442
E03-1053	6363;7318;4043;8690
E03-1054	4384;2000
E03-1055	540;5049;6051;5893
E03-1056	13679;4365;5713;8358;8546;8974
E03-1057	4385;2160;6912;3925
E03-1058	4011;9876;6424
E03-1059	7275
E03-1060	538;7091
E03-1061	2494;5818;6114
E03-1062	6496
E03-1063	9025
E03-1064	15144;8070;7390;329;6135
E03-1065	7083;6308;8850
E03-1066	15144;5549;3155
E03-1067	429;2750;4641;8647
E03-1068	1869;10481
E03-1069	1094;1033;4200
E03-1070	9087;1366
E03-1071	1610;1404
E03-1072	1511;5633;9387
E03-1073	4550;4561
E03-1074	4032
E03-1075	3350;4683;994;3287;91;3291;2929;1968
E03-1076	4247;4221
E03-1077	15264;12055;5141;202
E03-1078	6746;3350
E03-1079	5451
E03-1080	2197;4036
E03-1081	4480;12839
E03-1082	6519
E03-1083	7391
E03-1084	6356;7742
E03-1085	2668;3582;3709;5606;6301;6882;8585
E03-1086	82;5449;6430
E03-1087	7248
E03-1088	5869
E03-2001	91;1968;3350;6746;3291;712;791;669;994;2043;2838;10717
E03-2002	100;7938;7306;6016
E03-2003	884;2037;2226;4742
E03-2004	4385;6912;3925
E03-2005	2192;6573
E03-2006	3109;4413
E03-2007	4081;2192;4248;8335
E03-2008	4359
E03-2009	5325;1607;734
E03-2010	6746;3350;1968
E03-2011	14199;6914;14973
E03-2012	7062;904;8604
E03-2013	7083;734;1607
E03-2014	7083;1607;4444;1787;8897
E03-2015	7567;7566;4332;3656;2905;2580
E03-2016	8844
E03-2017	9342
E03-3001	4686
E03-3002	164;2488
E03-3003	720;164
E03-3004	9109;801
E03-3005	12599
E03-3006	13910
E06-1001	5351
E06-1002	912;15152
E06-1003	8042;5075
E06-1004	8371;5095
E06-1005	5301;8373;5893
E06-1006	9096;4165
E06-1007	13852
E06-1008	3800
E06-1009	1807;5633
E06-1010	5970
E06-1011	5364;15162
E06-1012	14907;6060
E06-1013	2838
E06-1014	2235;1232
E06-1015	5674
E06-1016	5581;3329
E06-1017	5839
E06-1018	741
E06-1019	1281;4831
E06-1020	15300;3606;14833;14744
E06-1021	5856;7463
E06-1022	3819;15395;5935
E06-1023	2525;8224
E06-1024	2350;461
E06-1025	2182;7340
E06-1026	7985;3602;6114
E06-1027	216;565
E06-1028	1383;434
E06-1029	6897;7181;8246;7194;8413
E06-1030	4904;1610
E06-1031	4713;8373;5893
E06-1032	989;6164;4247
E06-1033	3926;1921;15328
E06-1034	1869
E06-1035	3439;5633;6804
E06-1036	2939;3261
E06-1037	8128;4875
E06-1038	5364
E06-1039	1026;12057;6322
E06-1040	534;6793
E06-1041	2632
E06-1042	645;7174
E06-1043	2261;7794
E06-1044	6201;1572;4019
E06-1045	2413;6046
E06-1046	407;3785
E06-1047	1296;14891;3005;6707;7423
E06-1048	7463
E06-1049	566;3771;6016
E06-1050	6474;4831
E06-1051	2746;4582;6934
E06-1052	6934;4332;7958;1633;4582
E06-2001	434;4081
E06-2002	12554;587;1126;1222;2265
E06-2003	632;8834
E06-2004	4683;4909
E06-2005	6300;4591;13177
E06-2006	5839
E06-2007	6350;4421
E06-2008	3109;4025
E06-2009	4683;2681;3242;7852
E06-2010	904;2078;2957;7314;7537;8763;1388;4490;5153;9366
E06-2011	1528
E06-2012	1167;2314;2714;3335;4985;6231;5722;8574;8798
E06-2013	3771;6016
E06-2014	7427;344;6748;5695;6451
E06-2015	6541;7833
E06-2016	2759
E06-2017	5302;4730
E06-2018	6722
E06-2019	3424;4609;1235
E06-2020	8349;7738;6793;1708
E06-2021	1675
E06-2022	575
E06-2023	253;7415
E06-2024	13053;14339
E06-2025	9410
E06-2026	4210
E06-2027	6210
E06-2028	8795
E06-2029	6656;5130
E06-2030	9295;429;3245;8647
E06-2031	399;5535;14722
E06-3001	2691
E06-3002	3930
E06-3003	4003
E06-3004	4344
E06-3005	8540
E06-3006	9144
E06-3007	7196
E06-3008	12907
E06-3009	6355
E09-1001	1499
E09-1002	10157
E09-1003	11344;7328
E09-1004	11350;9554;5384
E09-1005	67;7693
E09-1006	67;13702
E09-1007	11351;11784
E09-1008	117;3539;11967
E09-1009	11372
E09-1010	9465
E09-1011	9492;11298;2752
E09-1012	407;12835
E09-1013	858;4550
E09-1014	964;2400
E09-1015	11465;1350;1665
E09-1016	9633
E09-1017	11474;5865
E09-1018	1195;2118
E09-1019	1567;12372;11863
E09-1020	13181;4454
E09-1021	1694;6724
E09-1022	1775;7812
E09-1023	1869
E09-1024	11570;5674;6832
E09-1025	9782;8687
E09-1026	13290;4550
E09-1027	11614;13270;3487
E09-1028	2283;407
E09-1029	2329;7917;1383;9248
E09-1030	2363;14958;3723
E09-1031	2400;11610
E09-1032	2430;12599;2073;1357;11546;6410
E09-1033	2448;12388;14283
E09-1034	13350;15329;14832
E09-1035	2608;9113
E09-1036	2627
E09-1037	9925;7626
E09-1038	2792;8294;52;2099
E09-1039	9952;11232;10868
E09-1040	10007;13288;10542;9474;11855;8631;9686
E09-1041	11722;12156;5900
E09-1042	11722;5900
E09-1043	3345;4247
E09-1044	11767;13400;11392;14824
E09-1045	13567;14407;6858
E09-1046	3750;11741
E09-1047	13614;3312;5088;11844
E09-1048	11810;5625
E09-1049	4051;13330
E09-1050	11841;8885
E09-1051	4210;12925
E09-1052	4271;4561
E09-1053	4271;4410
E09-1054	13613;14648
E09-1055	4410;7201
E09-1056	4543;14662;9417
E09-1057	4662;10398;14983
E09-1058	4683;11856
E09-1059	4699;661;5364
E09-1060	4941
E09-1061	4954
E09-1062	10380;5865
E09-1063	5037;8751
E09-1064	5532;1633;7504
E09-1065	10515;5490
E09-1066	5674
E09-1067	5702;1350;11807
E09-1068	5839
E09-1069	5944;5296;7480;5780
E09-1070	12073;12038;1610
E09-1071	12906;1499
E09-1072	12907
E09-1073	15152
E09-1074	6355;9907
E09-1075	6369;12407
E09-1076	6474;4831;12155
E09-1077	6719;6742
E09-1078	6856;4683
E09-1079	12201;7263
E09-1080	12207;9410
E09-1081	7253;12261
E09-1082	7295;1445;4247
E09-1083	12232;8648;13845;12174;12231;14283
E09-1084	12255;1812;12270;11374;12322
E09-1085	12261;7253
E09-1086	7719;11908
E09-1087	14382;13467;12152;7720
E09-1088	11036;8313
E09-1089	7985;6114
E09-1090	8323;8313;202
E09-1091	8371;13617;11868;10128
E09-1092	15398;12002;7299
E09-1093	14730
E09-1094	12357;12205;1632
E09-1095	8518;10337;3100
E09-1096	11181;9484;9297
E09-1097	8654;1978;1651;14088
E09-1098	12394
E09-1099	8977;4738;10738
E09-1100	9322
E09-2001	11411
E09-2002	13046;13346;6519
E09-2003	13057;11372;6718
E09-2004	9662;9433;9005;8409;4751
E09-2005	2555;12655;11882;227
E09-2006	13402;12867;12592;5414;12598;12593
E09-2007	3109;4262;12908
E09-2008	10090
E09-2009	4271;958;1079;1651;5633;6046;7827
E09-2010	4294;12843;11425;227;11882;5272;12576;5108
E09-2011	4738;8977
E09-2012	12715;7391
E09-2013	5517
E09-2014	6308;12513
E09-2015	6718;11372;13057
E09-2016	7182;8181;5393;202
E09-2017	12832;13363;8354;3041
E09-3001	11353
E09-3002	736
E09-3003	13335
E09-3004	15504
E09-3005	10729
E09-3006	10803
E09-3007	12249
E09-3008	7853
E09-3009	12338;12102
E09-3010	12401
E09-3011	11224
E12-1001	15817
E12-1002	15818;5625
E12-1003	8212;4209
E12-1004	15819;14307;434;11417
E12-1005	11497;6368
E12-1006	8294;5970;15427
E12-1007	9845;11162;7263
E12-1008	15821;15820
E12-1009	711;4411
E12-1010	3854
E12-1011	15822
E12-1012	15824;15823;10611;5625
E12-1013	15605;11291;15638
E12-1014	4209;13560;989;9113
E12-1015	15825
E12-1016	15826;14211;10886;9460;1068
E12-1017	15827;6060;5584;14287;7626
E12-1018	11570;10847
E12-1019	14585;11746;2759;13299;6316
E12-1020	15828;2909
E12-1021	10128;9741;8371
E12-1022	15829;137
E12-1023	15832;15831;15830
E12-1024	15534;14939;9268;7764
E12-1025	15834;15833;1068
E12-1026	15543;15145;8885
E12-1027	15835;9711
E12-1028	15837;15836
E12-1029	10081;6861
E12-1030	4903;7838
E12-1031	15838;1933;8873
E12-1032	14914;3329
E12-1033	11228;4193
E12-1034	15840;15839;5577;598
E12-1035	6574
E12-1036	15841;5625
E12-1037	15182;4911
E12-1038	15842;5682
E12-1039	15843;13508;3312
E12-1040	451
E12-1041	15845;15844;13337
E12-1042	15847;15846;11940;1048
E12-1043	11505;4582
E12-1044	15849;15848;5296
E12-1045	13026;2265
E12-1046	15850;5577
E12-1047	15851
E12-1048	15852;3616;2040;5633
E12-1049	15853;6631
E12-1050	11659;15650;7567;6166;15124
E12-1051	11506;6303
E12-1052	15855;15854;9520;7253
E12-1053	15857;15856;1904
E12-1054	9267
E12-1055	15600
E12-1056	15858;2983
E12-1057	15859;8540;792;8438
E12-1058	15861;15860;14392
E12-1059	15865;15864;15863;15862;11721;2983
E12-1060	13721;1492;5343;14012;389
E12-1061	5630
E12-1062	15866;1141
E12-1063	1358
E12-1064	14913;6200
E12-1065	2118
E12-1066	15867;6718
E12-1067	15868;5130
E12-1068	15869;2448;11217;964
E12-1069	14767;3005
E12-1070	11984;5561;14761
E12-1071	11497;6368
E12-1072	15870;12169;5549
E12-1073	15871;14812;8585
E12-1074	15872;2448
E12-1075	9315;9565;1404
E12-1076	15877;15876;15875;15874;15873;14798;14797;9966;5545;9741
E12-1077	15878;4271
E12-1078	15879;964;4411
E12-1079	15880;14915;2983
E12-1080	15883;15882;15881;2995;6689
E12-1081	12156;5900
E12-1082	15885;15884;13054;11961
E12-1083	15886;6857
E12-1084	15887
E12-1085	15888;1390;3382
E12-2001	15890;15889;8249
E12-2002	15893;15892;15891;4250;8555;10758;1570
E12-2003	15895;15894;4956;4515;7381;6936;7328
E12-2004	15897;15896;14992;1169;14639;14843
E12-2005	15901;15900;15899;15898;3865
E12-2006	15905;15904;15903;15902;11120;7779;9480
E12-2007	15906;6605;14212
E12-2008	15908;15907;7164
E12-2009	15911;15910;15909
E12-2010	13182;8711;4909;4683
E12-2011	15913;15912
E12-2012	15914;5970
E12-2013	15917;15916;15915;7767
E12-2014	15920;15919;15918;389;1492;13478
E12-2015	15922;15921
E12-2016	15923;801;232
E12-2017	15926;15925;15924;9719
E12-2018	15932;15931;15930;15929;15928;15927;1901;420
E12-2019	15934;15933;759;9834
E12-2020	15935;11663
E12-2021	15937;15936;12287;6090;10762;202
E12-3001	15938
E12-3002	15939
E12-3003	15940
E12-3004	15941
E12-3005	15942;14787
E12-3006	15943
E12-3007	15944
E12-3008	15945
E12-3009	15946
E12-3010	15949;15948;15947
E83-1001	1614
E83-1002	3013
E83-1003	9041
E83-1004	13468;7401
E83-1005	1804
E83-1006	7354;7453;1868
E83-1007	580
E83-1008	3708;4672;5855;9148
E83-1009	2465;6818
E83-1010	6612;2307
E83-1011	856
E83-1012	4269
E83-1013	3473
E83-1014	7132
E83-1015	5393
E83-1016	7777;895
E83-1017	14832
E83-1018	7800;1082;6275
E83-1019	11674;504
E83-1020	4704;8250
E83-1021	1013;5647
E83-1022	4292;6394
E83-1023	1123
E83-1024	2015
E83-1025	2941;4666
E83-1026	4262;4877;12908;6943;7121
E83-1027	5299
E83-1028	5144
E83-1029	54;1856
E83-1030	2657
E83-1031	5160;8628
E83-1032	719;4242;4705;7838
E85-1001	13679
E85-1002	3276
E85-1003	7799
E85-1004	370
E85-1005	8453;1834;5070
E85-1006	3170
E85-1007	6551
E85-1008	6712
E85-1009	7603;551
E85-1010	6945
E85-1011	716;8538;352
E85-1012	2524
E85-1013	8850
E85-1014	2015
E85-1015	4672;3708;5855
E85-1016	596;4816
E85-1017	7120
E85-1018	173
E85-1019	6628
E85-1020	1804
E85-1021	8775
E85-1022	4329;5094
E85-1023	480
E85-1024	2620;4659
E85-1025	171;707;850
E85-1026	4269
E85-1027	5362;15180
E85-1028	7973
E85-1029	5731;3559;2512
E85-1030	3668;3622;9179;3419;5101
E85-1031	583
E85-1032	830;7612
E85-1033	2332;2919;4520;7563
E85-1034	2729
E85-1035	3786
E85-1036	2524;2945;8069
E85-1037	6315
E85-1038	6275;2737
E85-1039	13468;7401
E85-1040	5660
E85-1041	5825;7564
E87-1001	1674
E87-1002	3997
E87-1003	654;6875;6628;7034
E87-1004	4571;6393
E87-1005	6696;2560
E87-1006	7040
E87-1007	320
E87-1008	5442
E87-1009	1069;6910;7684;8581
E87-1010	320;2475
E87-1011	707;1057;850
E87-1012	1632
E87-1013	1531;2524;2945
E87-1014	1625;2313;5212;7217
E87-1015	2076
E87-1016	5212
E87-1017	8926;6529;3412;3373;1160;1052
E87-1018	7401;6244
E87-1019	13468;4169
E87-1020	4189
E87-1021	13467
E87-1022	250;2277;4527
E87-1023	6418;4361;1834;282;8500
E87-1024	82
E87-1025	3276
E87-1026	4080
E87-1027	9220
E87-1028	7019
E87-1029	453;591;1515;2952
E87-1030	7260
E87-1031	1785;2923;3827;7662
E87-1032	621
E87-1033	5189;7711;2307;6612
E87-1034	915;8150;8444
E87-1035	850
E87-1036	8426;3708;4672;9148
E87-1037	8886
E87-1038	7800
E87-1039	657
E87-1040	6335;8527
E87-1041	1448;2287
E87-1042	5811
E87-1043	8453
E87-1044	1668;2305;2667;7027
E87-1045	641
E87-1046	2710
E87-1047	3873
E87-1048	4439
E87-1049	6628
E87-1050	6786
E89-1000	15180
E89-1001	18;7221
E89-1002	3255;5667
E89-1003	784
E89-1004	2692;3399
E89-1005	6713
E89-1006	2046;3955
E89-1007	6875
E89-1008	977
E89-1009	2192;2646
E89-1010	4182;8227;4722
E89-1011	6056
E89-1012	7091
E89-1013	8331;3151;7585
E89-1014	6755
E89-1015	341
E89-1016	8826;7785
E89-1017	2524;2708;8069
E89-1018	3214;6666
E89-1019	1057
E89-1020	15300
E89-1021	3827;5242
E89-1022	2169;3006;3271;6775
E89-1023	5321
E89-1024	5576;977;4200;6755;9257
E89-1025	3783;6968
E89-1026	8442
E89-1027	4439
E89-1028	4948
E89-1029	6712
E89-1030	6359
E89-1031	5817
E89-1032	977;6755;9257
E89-1033	8886
E89-1034	591;2606
E89-1035	8082;2926;850
E89-1036	4433;7187;9174
E89-1037	3921;5875;8768;9232
E89-1038	461;3954;7315;7781
E89-1039	1638;13569
E89-1040	14730;1957;282;4361;7067;1834
E89-1041	7030
E89-1042	9220
E91-1001	9244
E91-1002	6628
E91-1003	8628;215;2860;6872
E91-1004	5074;5175
E91-1005	500;3812;6707
E91-1006	4582;7201
E91-1007	3213
E91-1008	6447
E91-1009	6478
E91-1010	4568
E91-1011	7091
E91-1012	4661
E91-1013	5810
E91-1014	8822
E91-1015	630
E91-1016	644;658
E91-1017	15300;6547
E91-1018	654;8435;8855
E91-1019	2730
E91-1020	942
E91-1021	1106
E91-1022	2262
E91-1023	6789;2710
E91-1024	4080;5761;6810
E91-1025	3870
E91-1026	2524;6248;8069
E91-1027	6864
E91-1028	1651;3011
E91-1029	1496
E91-1030	1657;8500
E91-1031	784
E91-1032	1572
E91-1033	3399
E91-1034	6204
E91-1035	445;3255;4703;5667
E91-1036	8768
E91-1037	6992
E91-1038	565
E91-1039	836
E91-1040	8551;3561
E91-1041	13569
E91-1042	4216;6485
E91-1043	14010
E91-1044	8558
E91-1045	1760;396;874;2423;2911;6045;8348
E91-1046	3014;4295
E91-1047	941;3253;3418;4211;4464;7754
E91-1048	8313;2502
E91-1049	1935;5118;6210
E91-1050	7034;398;2180;278
E91-1051	7067;8179
E91-1052	1520
E91-1053	4666
E91-1054	4986
E91-1055	6712
E93-1002	7;3271;4600
E93-1003	282;357;12888;5193;5601;7067;7266
E93-1004	658;2606;5472
E93-1005	658;7703
E93-1006	695
E93-1007	15410;1632
E93-1008	769
E93-1009	776;8449;3637
E93-1010	784;14730
E93-1011	789
E93-1012	965
E93-1013	1654;4519;7169
E93-1014	1957
E93-1015	8439
E93-1016	2129
E93-1017	2301
E93-1018	2606
E93-1019	2630;7439
E93-1020	2750
E93-1021	2769;3720
E93-1022	13468;7401;7595
E93-1023	3210
E93-1024	3921;8768
E93-1025	4012
E93-1026	4081
E93-1027	4186;8313
E93-1028	4346
E93-1029	4349
E93-1030	4561
E93-1031	4561;6046
E93-1032	4603
E93-1033	5397;3329
E93-1034	5667;7657
E93-1035	5821;3146
E93-1036	5848
E93-1037	5991;5965
E93-1038	8469
E93-1039	6596;7764
E93-1040	7221;10849;6165
E93-1041	7559
E93-1042	7761
E93-1043	8282
E93-1044	8553
E93-1045	8573
E93-1046	8616;8060
E93-1047	8768;3921
E93-1048	8816
E93-1050	759
E93-1051	1809
E93-1052	5603
E93-1053	7248
E93-1054	7440
E93-1055	7763
E93-1057	58;67;14766;287;290;297;13196;2201;5191;7168;8403
E93-1058	611;1804;6449
E93-1059	1409;6901
E93-1060	1928;5731;13621;9035
E93-1061	2032;577;2031
E93-1062	2453;1435;2873;1542;5947
E93-1063	3286;7244;8549
E93-1064	3870;2162
E93-1065	4814;6789;800
E93-1066	6060
E93-1067	14146;14463
E93-1068	1760
E93-1069	8060;8616
E93-1070	8775;6710
E95-1001	6818
E95-1002	2439;6818
E95-1003	4580
E95-1004	8906;8562;1885
E95-1005	4012;1654;4519;7169
E95-1006	658;2606
E95-1007	8768
E95-1008	4117;3084;1338
E95-1009	4047
E95-1010	1702;2018;6066
E95-1011	4018;15329
E95-1012	839
E95-1013	2913
E95-1014	8130;2885
E95-1015	695
E95-1016	6828
E95-1017	5518
E95-1018	3255
E95-1019	5667
E95-1020	14283
E95-1021	1186;8060
E95-1022	8616
E95-1023	5130
E95-1024	5527;2688;2844
E95-1025	2158
E95-1026	133;5086;6796
E95-1027	5495;2335
E95-1028	1057
E95-1029	8616;3714
E95-1030	5024;1868
E95-1031	4637;4475;7384;4092
E95-1032	1580
E95-1033	7833;3028
E95-1034	3360
E95-1035	3335;5576;2926
E95-1036	5856;2431
E95-1037	1249
E95-1038	8335
E95-1039	3485
E95-1040	7058
E95-1041	338
E95-1042	1652
E95-1043	7850
E95-1044	794
E95-1045	4019
E99-1001	5495;5576;2926
E99-1002	6573
E99-1003	789;3677
E99-1004	6036;5399
E99-1005	4550;5365;4019
E99-1006	2055;7833
E99-1007	7794;5451
E99-1008	783
E99-1009	5667
E99-1010	6051
E99-1011	5139;3425;4201;3324;2344;7911
E99-1012	2301
E99-1013	5133;8224;8031
E99-1014	1392;4582
E99-1015	8130;1033;5576
E99-1016	818
E99-1017	2688;14730
E99-1018	6157;1356
E99-1019	8908;4170
E99-1020	167;960;1739;8577
E99-1021	7748;2218;4268
E99-1022	5527
E99-1023	8215;8520
E99-1024	7494
E99-1025	1244;407
E99-1026	8364;7370;3615
E99-1027	8616
E99-1028	2513;7935
E99-1029	14832;5921;7432;7610;15329
E99-1030	1099
E99-1031	958;8128
E99-1032	1098
E99-1033	6217
E99-1034	6455
E99-1035	4267;3769
E99-1036	4956
E99-1037	6813
E99-1038	9412
E99-1039	8584
E99-1040	125;14766;236;290;2201
E99-1041	268;2270
E99-1042	14832;5921;7432;7610;15329
E99-1043	1458;6281;6061;8071;5976;6090;7369;3584;3554;8313
E99-1044	1563
E99-1045	2574
E99-1046	4081
E99-1047	4497
E99-1048	5869;3211;4208
E99-1049	7251
E99-1050	7792
E99-1051	14199;8061;2576;1194;14973
E99-1052	5752
H01-1001	6854;8631
H01-1002	9311;877;2453
H01-1003	8631;9200;8811;7661;7305;7220;6242;5460;599
H01-1004	2027;1363;3483;8643;12742
H01-1005	5065;644;5036;4618
H01-1006	6580;6676;1621
H01-1007	4584;4544;8631;6447;4589;1455;7967;386
H01-1008	1973
H01-1009	7873;7370;2909
H01-1010	15155;6965;1539
H01-1011	3755;3171
H01-1012	14834;3415;3879;5921;7854
H01-1013	7854;14834;2851;3415;3879;5921;9231
H01-1014	8977;15155
H01-1015	8643;6307
H01-1016	533;934;3220
H01-1017	477;1951;2677
H01-1018	4584;4722;7305;4544;3078;8274;2630;8645;6415
H01-1019	4477;1902;1818
H01-1020	2701;900;1217;4559
H01-1021	4785;1573
H01-1022	4054;2979;142
H01-1023	7747
H01-1024	6713;762;822;5511;7813;8792;9242
H01-1025	477;1951;2677
H01-1026	1319;1296;15155
H01-1027	5511;822;6713;8792;9242
H01-1028	22;1951;1660;477;3324
H01-1029	2892;12032;2353;6840;4435
H01-1030	7806;1060
H01-1031	5139;8869;2314;7911
H01-1032	7380;6525
H01-1033	6811;6040;4730
H01-1034	6230;6171
H01-1035	9113;5901;8830
H01-1036	5023;1405;1516
H01-1037	7338;1579
H01-1038	3324;1475;1660;1710;1805;2314;2900;3243;4456;5139;5178;5368;5506;6019;6537;6765;8798;8869;9130
H01-1039	6026;13209
H01-1040	2552;3267;6039;9524;8853;2420;3801
H01-1041	4657;9139;7380;8786
H01-1042	6765
H01-1043	3988;4454
H01-1044	8038;3604;7993
H01-1045	3787;4913;7149
H01-1046	4831
H01-1047	3229
H01-1048	13288;8811;7276;7305;8631
H01-1049	1669;525
H01-1050	5438;1220;4060;4730;11931;6040;7286;8045;8668;8672
H01-1051	5650;433;2063;2109;2661;3700;6432;7516;7808
H01-1052	409;846
H01-1053	2464;2979;4054;4586;4714;142
H01-1054	8816;4309;1023;5900;6462;8627
H01-1055	6707;407;8643
H01-1056	6676;661;9319;6682
H01-1057	8144;8406
H01-1058	3010;8720
H01-1059	4516;13742;2639;49
H01-1060	4730;6040;6811
H01-1061	3723;14824;4060;13523;5893;6051;1608;6622
H01-1062	5893;6051;8602
H01-1063	8630;5438;6461
H01-1064	346;14978;6957;8826;3308;3618;3797;7753;9243
H01-1065	451;13270;5384
H01-1066	877
H01-1067	3028;6933
H01-1068	7797;1825
H01-1069	14986;2684;3257;11923;6742
H01-1070	6563;7692;8135
H01-1071	9090;2586;9311;8631
H01-1072	13614;3312
H01-1073	6358;8720;3097;1453;3010;9285;9208;6579
H01-1074	6195;8786
H01-1075	6599;3826
H05-1001	7778;135;6516;7142
H05-1002	6562;4385;4384
H05-1003	3734;8809;2909
H05-1004	5007
H05-1005	7531;5384
H05-1006	7460;9354
H05-1007	3594;13195
H05-1008	9108;3789
H05-1009	333;1955;5625
H05-1010	8068;4487;4199
H05-1011	5634
H05-1012	3655;6990
H05-1013	13209;5174
H05-1014	7645;3117
H05-1015	2324;6580
H05-1016	4432;142
H05-1017	2759;7820;1633
H05-1018	15017;8252
H05-1019	3317;6114;3634
H05-1020	6997;2224
H05-1021	4430;14824
H05-1022	1822;14824
H05-1023	9321;2649;6259
H05-1024	333;1955;5625
H05-1025	617;3031;7236
H05-1026	7328;2639
H05-1027	2585;9197;9212;9011
H05-1028	14834;6651
H05-1029	712;7017
H05-1030	3851;4595;1195;3779;6171
H05-1031	5865;7531;5384
H05-1032	5991
H05-1033	7719;4550
H05-1034	7930;2585
H05-1035	6130;15109
H05-1036	2083;2794;7626
H05-1037	9248;4744
H05-1038	8609
H05-1039	6363;8792;4804;9008
H05-1040	4374;1683;1136
H05-1041	227;2555
H05-1042	451;4550
H05-1043	6545;2185
H05-1044	8873;15336;3364
H05-1045	1342;1023;6861;6316
H05-1046	2594;5139
H05-1047	8072;15109
H05-1048	3010;1963;1265
H05-1049	3025;5895;5147
H05-1050	2083;3927
H05-1051	7807
H05-1052	5490
H05-1053	4248;5343;14832
H05-1054	8965;10171;9003;9197
H05-1055	3458
H05-1056	5526;8685;1442
H05-1057	6681;142
H05-1058	6823;636
H05-1059	8323;8313
H05-1060	7626;7617;8279
H05-1061	3458;9311;8602
H05-1062	2256;13000;5978
H05-1063	6997;9326;2224
H05-1064	4297;1464
H05-1065	7263
H05-1066	5364;15162;6827;13467
H05-1067	5490;7820
H05-1068	5721;1023;1064
H05-1069	8699;14832
H05-1070	4032
H05-1071	962;1971;7647;2185
H05-1072	2407;7047
H05-1073	159;6980;7727
H05-1074	9308;12548
H05-1075	2280;14986
H05-1076	1992;5438;3474;8955
H05-1077	7302;5429
H05-1078	5451;5748
H05-1079	759;5194
H05-1080	6382;14598
H05-1081	13842;7917;1471;8344
H05-1082	1587;432;2774;5479;8109;8792
H05-1083	5007;9389
H05-1084	2164;12763
H05-1085	14939;5349
H05-1086	5735;1573
H05-1087	3703
H05-1088	7204;4222;8549;15180
H05-1089	4769;1379
H05-1090	7249;5384
H05-1091	912;5630
H05-1092	6948;3204
H05-1093	4873;6917;4584
H05-1094	7925;5339
H05-1095	7556;1002;1105;2037;2637;2850;9039;4543;5310
H05-1096	8373;5893
H05-1097	8563;12527;8132;4272
H05-1098	1296;4954;5061;5625;6811;7866
H05-1099	3378;2356;6881
H05-1100	1544;1464
H05-1101	7201;6400
H05-1102	7442;3812
H05-1103	873;2473;2171
H05-1104	1996;7850;4019
H05-1105	15124;3204
H05-1106	8806;3028
H05-1107	8976;3539
H05-1108	12763;4550
H05-1109	4270;6811
H05-1110	2675
H05-1111	7947;7794
H05-1112	15109;360
H05-1113	8531;3812
H05-1114	5968;9791;8024
H05-1115	6176;2165;6676
H05-1116	7818;1023;15336
H05-1117	4837;1812
H05-1118	14462
H05-1119	9205;1245;4976;7359
H05-1120	74;4287
H05-1121	6100;8390;9042
H05-1122	6123;973
H05-1123	5248;1633;7413
H05-1124	5364;1555;15162
H05-1125	636;4782;5115;4079;8940;4165;7869;3107;4524;1967;1327
H05-1126	5539;3989
H05-1127	2146;3209
H05-2001	7034;2411;5908
H05-2002	3352;1554;2890;3279
H05-2003	9352;7434;11923;14986
H05-2004	6629;6980;7128;9141
H05-2005	8491;3845;7930;5436
H05-2006	7546
H05-2007	4954;6811
H05-2008	13523;4401
H05-2009	936;5174
H05-2010	3420;5780
H05-2011	9084;3209
H05-2012	9108;3789;6738;3536
H05-2013	8805;1104;6684;5533;511;6534;821;1274;7265;5536;4569;9298;7241;9009;3089;6410;7516;567
H05-2014	6746;1205;779;5799;3615;3914;3350;7158;7755
H05-2015	2752;3190;1618;7313;6277
H05-2016	7974;2613;6263
H05-2017	6545;5902;2185
H05-2018	8873;3364;7663;4048;15336;1342;1023;6861;6316
H05-2019	4113;7676;4617
H86-1001	8792;7219;8641;336;3001;3312;3593;6713;7411;7747
H86-1002	2909;3324
H86-1003	3346
H86-1004	5362;15180
H86-1005	3812;2338;5501;7430;8756
H86-1006	5144;7668
H86-1007	8792;8641;336;1723;13666;6713;7411
H86-1008	7747
H86-1009	2909;4389;5912
H86-1010	4389;2909
H86-1011	15155;1635;7250;3324;4862;1968
H86-1012	1635
H86-1013	3346;1573;1697;2061;4588
H86-1014	5362
H86-1015	5362;15180
H86-1016	6871;307
H86-1017	3812;8756;8792
H86-1018	5353
H86-1019	7013
H86-1020	8573;3812
H86-1021	2338;1975
H86-1022	7668;5845
H86-1023	1605
H86-1024	5144;8182
H89-1001	3324
H89-1005	4727;4801;4919;5507
H89-1006	5098;7326
H89-1007	6990
H89-1008	463
H89-1009	1583
