A00-1001	4073
E93-1029	7613
E93-1030	7941;7940
E93-1031	7941;10072
E93-1032	8000
E93-1033	9113;6125
E93-1034	9498;12430
E93-1035	9725;5857
E93-1036	9770
E93-1037	9993;9951
E93-1038	13599
E93-1039	10901;12588
E93-1040	11833;811;10239
E93-1041	12299
E93-1042	12579
E93-1043	13322
E93-1044	13722
E93-1045	13747
E93-1046	13807;13012
E93-1047	14053;6991
E93-1048	14125
E93-1050	12353
E93-1051	3983
E93-1052	9406
E93-1053	11863
E93-1054	12128
E93-1055	12583
E93-1057	9850;11206;3295;5466;5512;5606;2583;4541;8840;11743;13516
E93-1058	10180;3976;10653
E93-1059	2993;11361
E93-1060	4142;9580;2778;14448
E93-1061	4307;9646;4305
E93-1062	4912;3127;5457;3622;9922
E93-1063	6062;11859;13714
E93-1064	6914;4486
E93-1065	8314;11188;12940
E93-1066	10096
E93-1067	3018;3172
E93-1068	3915
E93-1069	13012;13807
E93-1070	14063;11063
E95-1001	11229
E95-1002	4889;11229
E95-1003	7965
E95-1004	14263;13731;4081
E95-1005	7134;3789;7878;11744
E95-1006	10889;5127
E95-1007	14053
E95-1008	7292;5757;2676
E95-1009	7188
E95-1010	3854;4282;10108
E95-1011	7146;3560
E95-1012	13510
E95-1013	5516
E95-1014	13109;5477
E95-1015	11444
E95-1016	11243
E95-1017	9288
E95-1018	6024
E95-1019	9498
E95-1020	3099
E95-1021	1753;13013
E95-1022	13807
E95-1023	8745
E95-1024	9305;5241;5424
E95-1025	4480
E95-1026	2681;8683;11199
E95-1027	9257;4727
E95-1028	564
E95-1029	13807;6695
E95-1030	8594;4055
E95-1031	8045;7818;12048;7254
E95-1032	3675
E95-1033	12684;5684
E95-1034	6172
E95-1035	6131;9373;5534
E95-1036	9787;4878
E95-1037	2336
E95-1038	13415
E95-1039	6349
E95-1040	11586
E95-1041	6211
E95-1042	3786
E95-1043	12716
E95-1044	12864
E95-1045	7148
E99-1001	9257;9373;5534
E99-1002	10868
E99-1003	12794;6644
E99-1004	10057;9117
E99-1005	7921;9073;7148
E99-1006	4337;12685
E99-1007	12623;9197
E99-1008	12700
E99-1009	9498
E99-1010	10078
E99-1011	8769;6259;7416;6121;4741;12810
E99-1012	4677
E99-1013	8752;13235;12974
E99-1014	2910;7967
E99-1015	13108;345;9373
E99-1016	13187
E99-1017	5241;3271
E99-1018	10229;2754
E99-1019	14266;7366
E99-1020	3823;15182;3892;13751
E99-1021	12565;4563;7504
E99-1022	9304
E99-1023	13222;13668
E99-1024	12206
E99-1025	2286;7230
E99-1026	13457;12028;6551
E99-1027	13807
E99-1028	4997;12846
E99-1029	3322;9883;12117;12372;3560
E99-1030	943
E99-1031	15163;13102
E99-1032	936
E99-1033	10309
E99-1034	10666
E99-1035	7503;6771
E99-1036	8511
E99-1037	11224
E99-1038	14989
E99-1039	13758
E99-1040	2368;3295;4781;5512;4541
E99-1041	5244;4631
E99-1042	3322;9883;12117;12372;3560
E99-1043	3226;10399;10101;13031;9974;10139;12023;6497;6457;13376
E99-1044	3648
E99-1045	5086
E99-1046	7240
E99-1047	7849
E99-1048	9805;5960;7425
E99-1049	11871
E99-1050	12621
E99-1051	3042;13014;5089;1827;3382
E99-1052	9606
H01-1001	11277;13835
H01-1002	14860;14068;4912
H01-1003	13835;14687;14115;12437;11945;11832;10347;9213;10006
H01-1004	4293;2780;6347;13856;2401
H01-1005	8650;10659;8613;8017
H01-1006	10879;11014;3732
H01-1007	7970;7911;13833;10646;7979;3218;12884;6912
H01-1008	4212
H01-1009	12751;12028;5511
H01-1010	3472;11458;3604
H01-1011	6750;5900
H01-1012	3325;6248;6927;9880;12722
H01-1013	12722;3325;5432;6248;6927;9880;14728
H01-1014	14365;3472
H01-1015	13856;10444
H01-1016	9031;14906;5970
H01-1017	8261;4172;5226
H01-1018	7970;8170;11944;7911;5747;13313;5162;13864;10604
H01-1019	7820;4105;3999
H01-1020	5259;14410;2032;7936
H01-1021	8269;3667
H01-1022	7197;5605;3111
H01-1023	12564
H01-1024	11068;12401;13242;9278;12656;14085;14748
H01-1025	8261;4172;5225
H01-1026	2585;2479;3472
H01-1027	9278;13242;11068;14085;14748
H01-1028	4673;4172;3797;8261;6120
H01-1029	5488;1899;4754;11257;7763
H01-1030	12644;590
H01-1031	8769;14204;4695;12810
H01-1032	12042;10783
H01-1033	11221;10064;8181
H01-1034	10332;10251
H01-1035	14563;9856;14147
H01-1036	8593;2973;3485
H01-1037	11989;3671
H01-1038	6120;3290;3797;3864;3978;4695;5499;6000;7793;8765;8822;9078;9271;10034;10802;11156;14095;14203;14592
H01-1039	10043;2596
H01-1040	5058;6037;10060;15102;14183;4864;6826
H01-1041	8076;14603;12042;14075
H01-1042	11155
H01-1043	7093;7787
H01-1044	12981;6535;12917
H01-1045	6802;8460;11716
H01-1046	8334
H01-1047	5979
H01-1048	2623;14115;11904;11944;13833
H01-1049	3809;8919
H01-1050	9177;2054;7204;8181;1816;10064;11915;12990;13898;13903
H01-1051	9474;7599;4350;4415;5208;6672;10626;12237;12650
H01-1052	7265;13602
H01-1053	4928;5605;7197;7976;8158;3111
H01-1054	14122;7558;241;9852;10679;13823
H01-1055	11053;7230;13856
H01-1056	11014;10936;14871;11021
H01-1057	13128;13521
H01-1058	5659;13986
H01-1059	7873;2819;5175;8563
H01-1060	8181;10064;11221
H01-1061	6707;3314;7204;2736;9837;10078;3715;10938
H01-1062	9837;10078;13785
H01-1063	13832;9177;10678
H01-1064	6324;3385;11441;14140;6093;6561;6819;12571;14749
H01-1065	7880;2617;9095
H01-1066	14068
H01-1067	5684;11403
H01-1068	12627;4009
H01-1069	3396;5236;6026;1807;11118
H01-1070	10854;12483;13115
H01-1071	14527;5104;14860;13833
H01-1072	2773;6102
H01-1073	10522;13986;5779;3212;5659;14808;14699;10877
H01-1074	10280;14075
H01-1075	10905;6854
H05-1001	12603;2763;10760;11709
H05-1002	10853;7675;7670
H05-1003	6724;14112;5511
H05-1004	8572
H05-1005	12260;9095
H05-1006	12156;14912
H05-1007	6515;2582
H05-1008	14552;6807
H05-1009	6136;4182;9435
H05-1010	13023;7832;7411
H05-1011	9447
H05-1012	6613;11490
H05-1013	2597;8810
H05-1014	12420;5812
H05-1015	4706;10879
H05-1016	7758;3111
H05-1017	5329;12665;3752
H05-1018	3406;13280
H05-1019	6109;10173;6585
H05-1020	11497;4571
H05-1021	7756;3313
H05-1022	4005;3315
H05-1023	14874;5190;10373
H05-1024	6136;4182;9435
H05-1025	10260;5690;11849
H05-1026	11973;5175
H05-1027	5102;14680;14705;14413
H05-1028	3326;10982
H05-1029	11691;11527
H05-1030	6885;7990;1836;6785;10251
H05-1031	9797;12260;9095
H05-1032	9994
H05-1033	12524;7921
H05-1034	12841;5102
H05-1035	10199;3444
H05-1036	4383;5369;12394
H05-1037	14756;8209
H05-1038	13796
H05-1039	10527;14085;8298;14407
H05-1040	7652;3832;1303
H05-1041	4647;5062
H05-1042	7882;7921
H05-1043	10818;4514
H05-1044	14211;3566;6176
H05-1045	2695;241;11295;10463
H05-1046	5112;8762
H05-1047	13033;3440
H05-1048	5659;4195;2383
H05-1049	5679;9840;8780
H05-1050	4383;7000
H05-1051	12646
H05-1052	9250
H05-1053	7478;9036;3322
H05-1054	14347;170;14401;14678
H05-1055	6304
H05-1056	9302;13921;3155
H05-1057	11020;3111
H05-1058	11238;10544
H05-1059	13394;13380
H05-1060	12394;12382;13319
H05-1061	6304;14860;13783
H05-1062	4611;2502;9976
H05-1063	11497;14882;4571
H05-1064	7540;3241
H05-1065	11885
H05-1066	9072;3481;11242;2706
H05-1067	9250;12665
H05-1068	9567;241;620
H05-1069	13944;3322
H05-1070	7168
H05-1071	15198;4210;12423;4514
H05-1072	4836;11570
H05-1073	3701;11476;12537
H05-1074	14855;2349
H05-1075	4651;3396
H05-1076	4242;9177;6333;14329
H05-1077	11941;9164
H05-1078	9197;9602
H05-1079	12352;8846
H05-1080	10558;3229
H05-1081	2858;12819;3259;13429
H05-1082	3685;7582;5350;9234;13079;14085
H05-1083	8572;14959
H05-1084	4488;2409
H05-1085	3365;9042
H05-1086	9587;3667
H05-1087	6676
H05-1088	11809;7442;13713;3490
H05-1089	8242;2833
H05-1090	11865;9095
H05-1091	14591;9441
H05-1092	11431;5948
H05-1093	8394;11380;7970
H05-1094	12833;9030
H05-1095	12295;30;997;4313;5172;5431;14455;7910;8992
H05-1096	13476;9837
H05-1097	13732;2342;13111;7511
H05-1098	2478;8508;8645;9435;11221;12741
H05-1099	6197;4757;11332
H05-1100	3624;3241
H05-1101	11804;10584
H05-1102	12132;6839
H05-1103	14013;4942;4496
H05-1104	4250;12717;7149
H05-1105	3453;5948
H05-1106	14108;5685
H05-1107	14363;6434
H05-1108	2409;7921
H05-1109	7507;11221
H05-1110	5223
H05-1111	12861;12624
H05-1112	3440;6541
H05-1113	13688;6839
H05-1114	9956;15360;12958
H05-1115	10256;4490;11014
H05-1116	12661;241;3566
H05-1117	8345;3991
H05-1118	3169
H05-1119	14696;2292;8534;12011
H05-1120	12215;7528
H05-1121	10155;13498;14458
H05-1122	10187;15311
H05-1123	8907;3752;12096
H05-1124	9072;3638;3481
H05-1125	10544;8267;8723;7229;14306;7359;12746;5796;7885;4200;2620
H05-1126	9320;7096
H05-1127	4466;5954
H05-2001	11557;4846;9865
H05-2002	6160;3637;5485;6049
H05-2003	14910;12119;1807;3396
H05-2004	10954;11476;11689;14606
H05-2005	13625;6876;12841;9174
H05-2006	12283
H05-2007	8508;11221
H05-2008	2735;7702
H05-2009	14933;8809
H05-2010	6255;9648
H05-2011	14518;5954
H05-2012	14552;6807;11110;6425
H05-2013	14107;988;11024;9314;8729;10797;13228;2406;11887;9318;7951;14828;11855;14408;5765;10597;12233;9518
H05-2014	11131;1928;12631;9685;6557;6982;6156;11729;12573
H05-2015	5321;5929;3728;11956;10394
H05-2016	12892;5139;10378
H05-2017	10818;9858;4514
H05-2018	14211;6176;12439;7190;3566;2695;241;11295;10463
H05-2019	7286;12460;8016
H86-1001	14085;11827;13853;6188;5643;6100;6511;11068;12093;12564
H86-1002	5511;6119
H86-1003	6144
H86-1004	9069;3494
H86-1005	6839;4731;9265;12115;14036
H86-1006	8778;12448
H86-1007	14085;13853;6188;3881;2789;11068;12093
H86-1008	12564
H86-1009	5511;7687;9869
H86-1010	7687;5511
H86-1011	3467;3755;11867;6116;8379;4201
H86-1012	3755
H86-1013	6144;3666;3847;4348;7978
H86-1014	9064
H86-1015	9068;3492
H86-1016	11314;5750
H86-1017	6839;14036;14086
H86-1018	9052
H86-1019	11521
H86-1020	13748;6839
H86-1021	4731;4216
H86-1022	12448;9764
H86-1023	3712
H86-1024	8778;13177
H89-1001	6122
H89-1005	8175;8293;8468;9272
H89-1006	8700;11969
H89-1007	11489
H89-1008	8051
H89-1009	3678
H89-1010	11969;7782;2743;4017;4655;7320;7694;8700;13620
H89-1011	7694;4655;8700;11969
H89-1012	11707;2743;5643;6511;11489;12564
H89-1013	14085;11383;6188;11068
H89-1014	11150
H89-1015	11527
H89-1016	8039;6206;6440
H89-1017	14668
H89-1018	13984
H89-1019	6743;6730
H89-1020	3814
H89-1021	8778;3396
H89-1022	7046
H89-1023	14075
H89-1024	10464
H89-1025	14983
H89-1026	12042
H89-1027	14983;5321;10642;12042
H89-1028	10322
H89-1029	14176;4598;7097;5839
H89-1030	12809
H89-1031	10038;6406
H89-1032	12809
H89-1033	5511
H89-1034	5511;12614
H89-1035	6839;8816;12588;14036
H89-1036	4100;10722;3575;6839;11834
H89-1037	2010;14036
H89-1038	12588
H89-1039	14994
H89-1040	14994
H89-1041	9666;9597
H89-1042	9597;3135;10906;6943;14080;9666
H89-1043	9448;3478;9597
H89-1044	5348;11033
H89-1045	5994;10674
H89-1046	4132
H89-1047	14172
H89-1048	6122;3470
H89-1049	7036
H89-1050	4204
H89-1051	6122;7896;4204;14084
H89-1052	14236;6991
H89-1053	2160;12231
H89-1054	7776
H89-2001	6118
H89-2002	10906;10249;1162
H89-2003	8618
H89-2004	3384
H89-2005	10904
H89-2006	12564
H89-2007	13984
H89-2008	14983;5321;5392;8155;10642;10783;12042
H89-2009	7036;3758;10011;6122;14084;8381
H89-2010	14036
H89-2011	5511;12614
H89-2012	2829;5063;5771;6092
H89-2013	2829;5063
H89-2014	7776
H89-2015	3396
H89-2016	10322
H89-2017	7597;10906
H89-2018	14983;3793;5321;5392;8155;10642;10783;12042;12421
H89-2019	11707;11068;6188;8051
H89-2020	4017;11969
H89-2021	11527;11667;10782
H89-2022	14983;5321;5392;8155;10642;10783;12042
H89-2023	5511
H89-2024	8293
H89-2025	12616
H89-2026	12719
H89-2027	2743;11969
H89-2028	10464
H89-2029	8051
H89-2030	14176;5839
H89-2031	6511;11068
H89-2032	6745
H89-2033	6050;7782;2743;4017;7320;7694;8700;10736;11561;11969;14676
H89-2034	7694;11969;7782
H89-2035	5708;11969;8700
H89-2036	3546;8039
H89-2037	6206;8039;14067
H89-2038	6335;6206;8039
H89-2039	8009;11008;10675;14200
H89-2040	8175;8468
H89-2041	10464
H89-2042	14076
H89-2043	4130
H89-2044	12615;3287
H89-2045	4481;14080
H89-2046	3316;11349;12097
H89-2047	4075;10249;11390
H89-2048	11291
H89-2049	12651;5067;9095;9281
H89-2050	2160
H89-2051	2829
H89-2052	3437;6097
H89-2053	6839;11834
H89-2054	9762;13142;4126;5718;12105
H89-2055	4627;9095
H89-2056	11969
H89-2057	14085
H89-2058	8700;11969
H89-2059	8700
H89-2060	14172
H89-2061	10249;10906
H89-2062	10249;11390
H89-2063	12289
H89-2064	11150
H89-2065	3396
H89-2066	14983
H89-2067	14075;10464
H89-2068	12809
H89-2069	5511
H89-2070	6838;8618;4872;7651;10460;4698;1540
H89-2071	3437;11934
H89-2072	14994
H89-2073	10906
H89-2074	9597
H89-2075	6144;5006;8376;12628;13447
H89-2076	14236;6991
H89-2077	8700;6706;11008;14075;14983
H89-2078	14085;208;5528;8093;8816;10570;14172
H90-1001	12615
H90-1002	13984
H90-1003	11969;6050
H90-1004	12468;6302
H90-1005	3474
H90-1006	10249;10906;8376;1162
H90-1007	6188
H90-1008	11934;6436
H90-1009	9095;4627
H90-1010	11834;6839
H90-1011	7046;3396
H90-1012	5006;6144
H90-1013	6122
H90-1014	9034
H90-1015	10738
H90-1016	6050;10607;10736;11969;13620
H90-1017	7130;2744;5292;11478;12719
H90-1018	14080;2169;8773;9597;12653;9727;11931;11255;3035;13753
H90-1019	10322
H90-1020	10906
H90-1021	5994;5348;4132
H90-1022	8051;11707;8700
H90-1023	6122;3758;9088;10011;8381
H90-1024	10322;4761;4753;5142
H90-1025	10322
H90-1026	8051;11383;11707;6511;12564
H90-1027	13984
H90-1028	14983;5321;5392;8155;10642;10783;12042
H90-1029	11328;10906;10406;13083;6638;5942
H90-1030	10011;3758;9088;6122;8381;8666;7036
H90-1031	9448;5006;8376;3790;9454
H90-1032	14080
H90-1033	12289
H90-1034	3287;12615
H90-1035	7130;5292
H90-1036	5292;11478
H90-1037	4075;10249;11390
H90-1038	6618;3831;3929;4475;9187;9191;548;10670;10865
H90-1039	10464;6730;6743
H90-1040	8175;8468;9272
H90-1041	10464
H90-1042	5994
H90-1043	14983;5321;5392;8155;9033;10642;10783;12042
H90-1044	3758;6122;10011;8381;8666;9864;7036
H90-1045	5900;11527
H90-1046	8559;11527
H90-1047	11383;6511;12564
H90-1048	11383;11068
H90-1049	14118;9631
H90-1050	8816
H90-1051	11130;11699
H90-1052	6092;11425
H90-1053	2605;5511
H90-1054	12109;6706;9187
H90-1055	13603;8667;8816;11736
H90-1056	5063;2829
H90-1057	8192
H90-1058	4132
H90-1059	10322;4753;5142
H90-1060	7694;11969
H90-1061	10675;8009;5264;11008
H90-1062	8009;5264;11008;10675;11440
H90-1063	6334;3546;5914;6206;6440;8039
H90-1064	10464
H90-1065	9597;14080;3135
H90-1066	4481;14080
H90-1067	4765;9145;12417;8039
H90-1068	3758
H90-1069	6188;11383;8621;9206;11068;11969;14085
H90-1070	6640;7678;9112;11106;12445;14785
H90-1071	14172
H90-1072	14176;210;4598;3395;9925
H90-1073	3130
H90-1074	14983;5321;5392;8155;10642;10783;12042
H90-1075	3211;4583
H90-1076	325;5608;206;9201;10058
H90-1077	11559;10803
H90-1078	14085
H90-1079	8700;11969
H90-1080	8700
H90-1081	10249;10906
H90-1082	10249;11390
H90-1083	12289
H90-1084	11150
H90-1085	10738
H90-1086	9095;4627
H90-1087	6743
H90-1088	12226
H90-1089	14075;10464
H90-1090	14983
H90-1091	10322
H90-1092	12809
H90-1093	14176
H90-1094	5511
H90-1095	9145
H90-1096	10906;9448
H90-1097	9597;14080
H90-1098	6122;3758
H90-1099	6839;8816;12588;14036
H90-1100	8816
H90-1101	3437;11934
H90-1103	14075
H91-1001	10906
H91-1002	8295;10906
H91-1003	12840
H91-1004	387
H91-1005	10501
H91-1006	5364
H91-1008	10322
H91-1009	6730;6743;7130;5292;7874;11478;11826;12719;6242;9182
H91-1010	10464
H91-1011	10642;5321;14983
H91-1012	7694;6050;7782;8700;10736;11969
H91-1013	10249;6973;6050;7320;11969;11390
H91-1014	12042;5321;5345;5392;6117;8155;10642;10783;14983
H91-1015	9597;15099;14080
H91-1016	13984
H91-1017	14668
H91-1018	6050;6188;8051;11383;6511;8700;10736;11969;12564
H91-1019	10058
H91-1020	10675;8167;8009
H91-1021	10011;8381;3758;9864
H91-1022	13451
H91-1023	208
H91-1024	6144;6935
H91-1025	14055;3969;3972;9187
H91-1026	5063;2829
H91-1027	8595
H91-1028	5048;12481
H91-1029	12519
H91-1030	4775;8740;4411
H91-1031	9176;14983;8155
H91-1032	3437
H91-1033	11383;6511;12564
H91-1034	6638;5006;8376;9448;10755
H91-1035	6839;11834
H91-1036	9448;4203
H91-1037	14085;6188;11383;11707;6511;10337
H91-1038	10249
H91-1039	8596
H91-1040	8051;4412;10607;12093
H91-1041	11490
H91-1042	11383
H91-1043	3588;7724
H91-1044	8667;8816
H91-1045	7466;7777
H91-1046	7776
H91-1047	8038
H91-1048	6050;8700;11969;14765
H91-1049	4075;11390;10249
H91-1050	6206;8039
H91-1051	6618;3929;5401;548;10670
H91-1052	7694
H91-1053	5174;8009
H91-1054	6334
H91-1055	10464
H91-1056	11291;8468
H91-1057	6706;9191;11490;12668
H91-1058	14075
H91-1059	12809
H91-1060	10850;3284;4790;5188;5510;5831;6094;6512;6706;7407;8294;8814;11490;11734;12691
H91-1061	8192
H91-1062	8051;6188
H91-1063	8816
H91-1064	3437
H91-1065	9206;11969;14085
H91-1066	6640;7678;11106
H91-1067	13466;9867
H91-1068	12692;13660
H91-1069	9818
H91-1070	12042;6117;14983
H91-1071	10783;12042;14983
H91-1072	6117;12042;5392;10642
H91-1073	10906;10249;12116;4807
H91-1074	13915;3384
H91-1075	1162;13672;10249
H91-1077	9268;13060
H91-1078	14030
H91-1079	14085
H91-1080	8700;11969
H91-1081	8700
H91-1082	10249;10906
H91-1083	10250;11391
H91-1084	12289
H91-1085	11150
H91-1086	10738
H91-1087	9095;4627
H91-1088	6743;5292
H91-1089	12226
H91-1090	14983;6117
H91-1091	14075;10464
H91-1092	10322
H91-1093	12809
H91-1094	14176
H91-1095	5511
H91-1096	14994
H91-1097	9666
H91-1098	9597;14080
H91-1099	10906;9448
H91-1100	6144
H91-1101	3758
H91-1102	14172
H91-1103	6839;8816;12588;14036
H91-1104	8816
H91-1105	3437;11934
H91-1106	3396
H92-1001	8816
H92-1002	3437
H92-1003	6117;8053;3756;4758;5141;6393;10321;10368;10902;11528
H92-1004	10322;3769;4753;4761;5142;13219
H92-1005	10783;6117;12042;14983
H92-1006	10906;6117;12236;13820
H92-1007	13984
H92-1008	10367;14200
H92-1009	12237;13821;10906
H92-1010	8830
H92-1011	9450;9500
H92-1012	8700
H92-1013	10675;13451;5410;8167;8009;5174
H92-1014	7694;7782;8051;11383;3358;6511;8700;9861;11969;12564
H92-1015	13984;6589;6334;6206;6440;14668;8930;8418;12615
H92-1016	14983;5321;5345;5392;6117;10642;10783;12042
H92-1017	10011;3758;8381
H92-1018	5006;6638
H92-1019	6839
H92-1020	3969;3972;9187;11490
H92-1021	11453;6334
H92-1022	13603
H92-1023	10850;6706;7840;9187;11490
H92-1024	3474;11834
H92-1025	8665;14084
H92-1026	10850;6706;7840;8663;9187;11490
H92-1027	11834
H92-1028	8841;9275;5492;3283
H92-1029	6092
H92-1030	13603;8816
H92-1031	9597
H92-1032	5027;12170;8955;8963;12903;14461
H92-1033	6206;8038
H92-1034	6440;6334
H92-1035	6051;14764;8700;11969
H92-1036	5174;8009
H92-1037	6334
H92-1038	7321;10249;11390
H92-1039	5812
H92-1040	12692
H92-1041	8191
H92-1042	9055
H92-1043	11294;8093
H92-1044	6640
H92-1045	5063;2829;14562
H92-1046	3626;5623;5627
H92-1047	3490
H92-1048	14983
H92-1049	6050;11383;4412;6511;8700;9861;10607;10736;11969
H92-1050	6144
H92-1051	7342;10641;13375
H92-1052	3396;9922
H92-1053	14055;3969;3972;9187;9382
H92-1054	3130
H92-1055	12615;8418;10135;12781;3287
H92-1056	9597;15099;14080
H92-1057	12289;7367;8434;9217
H92-1058	2536
H92-1059	9095
H92-1060	12042
H92-1061	12564;11383
H92-1062	11383;6511;12564
H92-1063	14085;6188;11707;4869;6511
H92-1064	13869
H92-1065	4131
H92-1066	5292;10586;11478
H92-1067	206;6193;12664;5149;326;10058
H92-1068	15099;9597;12233;10906
H92-1069	5175;7873
H92-1070	8295
H92-1071	6144
H92-1072	14075
H92-1073	10464;6743
H92-1074	4131
H92-1075	10642;5321;10783;14983
H92-1076	9666;3812
H92-1077	14075
H92-1078	10322
H92-1079	6730;6743;7130;10721;5292;5987;6343;6602;8528;10586;11478;11826
H92-1080	3546;6206;6334;6440;11453;14067
H92-1081	10464
H92-1082	10464
H92-1083	9597;15099;14080
H92-1084	10906;3384
H92-1085	12234;8376;4203
H92-1086	3283
H92-1087	13673;10249
H92-1088	12290;10791;12519;10729
H92-1089	3384;5528
H92-1090	14029
H92-1091	2532
H92-1092	6673;8387
H92-1093	6973;10249;11390
H92-1094	11294;8093
H92-1095	3758;14084;8304;10011;8381;8389
H92-1096	8700;8051
H92-1097	8700;11969
H92-1098	14085
H92-1099	10249;10906
H92-1100	10249;11390
H92-1101	12289
H92-1102	11150
H92-1103	9095;8400;10448
H92-1104	6743;5292;11478
H92-1105	12226
H92-1106	12942
H92-1107	14983;6117
H92-1108	8387
H92-1109	14075;10464
H92-1110	10322
H92-1111	12809
H92-1112	14176;3490;3626
H92-1113	14176
H92-1114	14176
H92-1115	5511
H92-1116	9268
H92-1117	6394;9666
H92-1118	3812;9666
H92-1119	14080
H92-1120	10906;9448
H92-1121	6144
H92-1122	8093
H92-1123	6839;8816;12588;14036
H92-1124	3396
H93-1001	8051
H93-1002	11527
H93-1003	10322;4753;4761;5142
H93-1004	6117;8053;3756;4760;5141;10321;6393;10903;11528;13453
H93-1005	13170;4358;7464;4135;9830;12490
H93-1006	8381;10011;3758
H93-1007	12564;11383
H93-1008	4203;5183;5006;8376;2422;9448;9454
H93-1009	5321;5392;10642;11660;12042;14983
H93-1010	8051
H93-1011	12809;2564
H93-1012	5812
H93-1013	10464
H93-1014	8418;12615;6334;3287
H93-1015	11969;4316;7694;8700;9861;14764
H93-1016	6334;3546;6440;11453
H93-1017	9597;15099;4076;14080
H93-1018	9861;11969;7694;10736
H93-1019	5175;7873
H93-1020	7321;10249
H93-1021	7955;11454;11490
H93-1022	14080
H93-1023	10586;5292;6602;8528;11478;11826;6730;6743;13559;6398;10226
H93-1024	9448
H93-1025	9049
H93-1026	6144;5006;8376;6587;6935;13447
H93-1027	6437;11934
H93-1028	4936;11080;4777;9089;12205
H93-1029	13749
H93-1030	6144
H93-1031	8299;9121;10305;14675;9092
H93-1032	9446
H93-1033	4663;3437
H93-1034	10331;5573;6103;12398
H93-1035	13833
H93-1036	7440
H93-1037	14500;6730;7130;2450;4071;4399;6941;8753;8756;8827;12589
H93-1038	4912;5457;3622;9922
H93-1039	14055;3969;3972;5374;2708;9187;9382
H93-1040	14120;10045
H93-1041	14297;3079;4374;7971;457;10795;801;3507;919;13246;13401;15041;13835;13985
H93-1042	11129;3876;13494;564;4076;2669;6890;7015;8591;10949;10906;11699
H93-1043	9597
H93-1044	8816
H93-1045	8948;9278;14085
H93-1046	3283
H93-1047	13603
H93-1048	6092
H93-1049	8948
H93-1050	5511;12614
H93-1051	7988;13296;13797
H93-1052	14564
H93-1053	9095;5892
H93-1054	11222
H93-1055	13583
H93-1056	5278
H93-1057	2599
H93-1058	5035
H93-1059	5511
H93-1060	5511;8641;14261
H93-1061	9268;7988;13075;14604
H93-1062	10305;8299;14675;9092
H93-1063	10249
H93-1064	12290
H93-1065	3610
H93-1066	9696;3384
H93-1067	13673;10249
H93-1068	3230;3911;11712
H93-1069	12506
H93-1070	14426
H93-1071	13811;3667
H93-1072	8299;10305;14675;9121
H93-1073	14085
H93-1074	11527
H93-1075	10266;3142;13916;5159
H93-1076	15030
H93-1077	13266;4975
H93-1078	11390
H93-1079	8700;11969
H93-1080	14085
H93-1081	8700;8051
H93-1082	10249;10906
H93-1083	10249;11390
H93-1084	11150
H93-1085	9095;10448
H93-1086	14426;11681;3110
H93-1087	14500;6730
H93-1088	6743;5292;11478
H93-1089	6640
H93-1090	5072;15317
H93-1091	14055
H93-1092	11490
H93-1093	8387
H93-1094	14075;10464
H93-1095	14983;6117
H93-1096	10322
H93-1097	12809
H93-1098	14176
H93-1099	14176;3490;3626
H93-1100	14176
H93-1101	5511
H93-1102	12692
H93-1103	9268
H93-1104	7820
H93-1105	13797
H93-1106	6394;9666
H93-1107	3812;9666
H93-1108	10906;9448
H93-1109	4076;9597;14080
H93-1110	8299;2937
H93-1111	8093;4146
H93-1112	3667
H93-1113	6839;8816;12588;14036
H93-1114	3437;11934
H93-1115	3396
H94-1001	14075
H94-1002	9268
H94-1003	8641;5511;9227
H94-1004	8295
H94-1005	2372;4725
H94-1006	5349
H94-1007	13037;9666
H94-1008	3211;9980;14886;4583;7886;10241;12834
H94-1009	7694;8959;3130;10322;10464;10642;11033;11258;11291;11453;11478;14079
H94-1010	3758;8054;14041;4762;6395;10323;10369;11529;12235
H94-1011	10322;4753;4761;5142;8560;10937
H94-1012	6336
H94-1013	11453
H94-1014	6628;10249;11390
H94-1015	6582;8954
H94-1016	11969;9861;7694;2715;14765;8700
H94-1017	6120
H94-1018	12506
H94-1019	13510;13170
H94-1020	8816;7255;8804;8620;10359;4664;7080;11845
H94-1021	5511
H94-1022	9448
H94-1023	3396
H94-1024	14120;10046
H94-1025	10171;3396
H94-1026	9922;4912
H94-1027	12364;9095
H94-1028	9460;14055;3969;3972;5290;7840;9187;10918;13513
H94-1029	14500;86;3982;4071;6602
H94-1030	6640
H94-1031	10210
H94-1032	6144;6587
H94-1033	6188
H94-1034	5955;3437
H94-1035	10901;12588
H94-1036	8051
H94-1037	14983;12042;10783;10642;10368;5345;5321;13601
H94-1038	387
H94-1039	13984;6589
H94-1040	11129;564;4076;10906
H94-1041	10266
H94-1042	9206;11390
H94-1043	5942
H94-1044	5900;9521;11479;6958;12862
H94-1045	6707
H94-1046	9268;3332;7887;7988;13160
H94-1047	14129;3564
H94-1048	11101;11233;11490
H94-1049	13601
H94-1050	3474;11291;12533
H94-1051	9279;4869
H94-1052	6706;7840;8663;9187;11101;11490
H94-1053	9279;11969;11383;6511
H94-1054	2412
H94-1055	9176;12042;14983
H94-1056	5120
H94-1057	10177
H94-1058	5278
H94-1059	6194
H94-1060	1092;13639
H94-1061	14670
H94-1062	14667;10084;14289
H94-1063	4076;9597
H94-1064	5175;7873;8563;8703
H94-1065	4317;7694;8700;11969
