Hathaway, Chris 2.5477665323536e-05
Aylett, Ruth 1.98712782087118e-05
Vicente-DÌez, MarÌa Teresa 1.98712782087118e-05
Jˆnsson, Arne 1.98712782087118e-05
Lee, Mark 7.02290909077684e-05
Collins, Michael John 0.00317480391398988
Azzam, Saliha 0.000235972843736597
Tsai, Jin-He 2.88366299302694e-05
Gazdar, Gerald 0.000418487217132952
Yeh, Eric 3.09520169462333e-05
Johannessen, Janne Bondi 2.37146840565833e-05
Siroux, Jacques 1.98712782087118e-05
Helzerman, Randall A. 4.40075008478608e-05
Aizawa, Akiko N. 2.40875820520495e-05
Araki, Tetsuo 8.5340160163793e-05
Gendner, Veronique 1.98904791273072e-05
Zhang, Jason 9.17550820013601e-05
Sekiguchi, Youichi 1.98712782087118e-05
Nirenburg, Sergei 0.000650585407549363
Li, Hongqiao 8.31447910139141e-05
Kuusisto, Jukka 7.43166238349817e-05
Leturia, Igor 1.98712782087118e-05
Nirenburg, Irene B. 0.000111277484929101
Reithinger, Norbert 0.000629687027062903
Ehara, Yo 1.98712782087118e-05
Tsukawaki, Sachiyo 1.98712782087118e-05
Daniels, Michael W. 1.98712782087118e-05
Montero, Juan Manuel 3.30864339221203e-05
Tang, Enya Kong 3.85631305501981e-05
Bejar, Isaac 3.54977952831197e-05
Garbin, Eric 5.15241307061752e-05
Baldwin, Tyler 1.98712782087118e-05
Riedel, Sebastian 0.000194168448156607
Giralt Duran, Joan 1.98712782087118e-05
Wittenburg, Peter 3.61570694671211e-05
Peh, Li Shiuan 2.54587455199602e-05
Tavosanis, Mirko 1.98712782087118e-05
Karakos, Damianos 6.44237915684622e-05
Vu, Theresa 3.29150017665672e-05
Marcinkiewicz, Mary Ann 0.00339720136871078
Stark, Matthias 1.98712782087118e-05
Levas, Anthony 1.98712782087118e-05
Aldabe, Itziar 1.98712782087118e-05
Matthews, Michael 2.57249793624962e-05
Radul, Alexey 4.0043467045672e-05
Baron, Don 5.04032967902205e-05
Klarner, Martin 1.98712782087118e-05
Smarr, Joseph 0.00011992752008637
Habel, Christopher U. 0.000151334238360934
Fisher, Seeger 3.29270051224861e-05
Starner, Thad 1.98712782087118e-05
Kang, In-Ho 3.91469152792288e-05
Wysoker, Alec 2.59504611454137e-05
Dukers, Alex 1.98712782087118e-05
Gabor, Kata 1.98712782087118e-05
Ramshaw, Lance A. 0.00303160362856491
Stubbe, Andrea 1.98712782087118e-05
Fang, Xiaoshan 1.98712782087118e-05
Karimi, Sarvnaz 2.19861153049451e-05
Herrmann, Teresa 1.98712782087118e-05
Arens, Yigal 0.000197138478461165
Roth, Michael 1.98712782087118e-05
Lockman, Abe 1.98712782087118e-05
Paulik, Matthias 5.28375223762837e-05
Frixou Drakos, Nicos 2.71230870096478e-05
Manov, Dimitar 2.07993996149026e-05
Cheikes, Brant A. 3.47915445963012e-05
Lin, I-Peng 3.18492434213081e-05
Yamabana, Kiyoshi 5.8905697320099e-05
Karagjosova, Elena 5.06296481374842e-05
Chiu, Chih-Ming 2.25040899064033e-05
Hartholt, Arno 1.98712782087118e-05
Gnjatovic, Milan 1.98712782087118e-05
Jang, Myoung-Gil 1.98712782087118e-05
Donaway, Robert L. 8.67192509398405e-05
Esposito, Joseph 1.98712782087118e-05
Eck, Matthias 4.07442796728975e-05
Jokinen, Kristiina 8.50210706151859e-05
Lim, Joon-Ho 3.82302887991481e-05
Doi, Hirohumi 2.61973091432985e-05
Ponvert, Elias 2.55259291248875e-05
El Hadi, Widad Mustafa 1.98712782087118e-05
Nisimura, Hirohiko 1.98712782087118e-05
Grandchamp, Jean-Michel 1.98712782087118e-05
Amores, J. Gabriel 1.98712782087118e-05
Mitchell, Tom T. 4.01012469211644e-05
Wu, Mingli 2.48317128853815e-05
Fukushima, Toshikazu 2.27702561199235e-05
Ahlswede, Thomas E. 0.000581756870842261
Sprugnoli, R. 3.15895093528503e-05
Kim, Eunju 3.18851101753614e-05
Rodriguez-Gianolli, Patricia 3.07381089786945e-05
Grimley Evans, Edmund 4.05359436552369e-05
Joty, Shafiq R. 1.98712782087118e-05
Sun, Xiantang 1.98712782087118e-05
Hiyakumoto, Laurie 1.98712782087118e-05
Kacmarcik, Gary 3.494822951831e-05
Rubinoff, Robert 5.86726595797717e-05
Sawamura, Eiji 3.01072131045545e-05
Balfourier, Jean-Marie 2.13951329299614e-05
Lonning, Jan Tore 2.17604708263966e-05
Yamaguchi, Yukiko 1.98712782087118e-05
Phelan, Peter 2.30238638835469e-05
Shirado, Tamotsu 3.07592839757084e-05
Hai, DOAN-NGUYEN 1.98712782087118e-05
Ettelaie, Emil 2.36988786491404e-05
Vondruska, Richard J. 1.98712782087118e-05
Chan, Terence Y. W. 1.98712782087118e-05
Aronson, Alan R. 3.32355609519458e-05
Blackwood, Graeme 1.98712782087118e-05
Sun, Honglin 0.000114029821960451
Celce Murica, Marianne 6.64252592523323e-05
Wrede, Britta 1.98712782087118e-05
Tatu, Marta 0.000143733593431909
Anick, Peter G. 0.000548554608674658
Gaume, Bruno 2.3455957946708e-05
Bachimont, Bruno 4.65072456225641e-05
Thione, Gian Lorenzo 6.18094998795543e-05
Mari, Alda 1.98712782087118e-05
Kikui, Genichiro 0.000207271003183679
Rosner, Mike A. 9.01246180724394e-05
Fung, Kuao-Ann 3.44640321301954e-05
R., Urizar 1.98712782087118e-05
Perboni, Sara 1.98712782087118e-05
Ji, Paul D. 1.98712782087118e-05
SZPAKOWICZ, Stan 2.15995979901397e-05
Finkler, Wolfgang 5.84056999169516e-05
Collins, Christopher 1.98712782087118e-05
Anderson, Don D. 3.80629052323611e-05
Pedersen, Bo 1.98712782087118e-05
Wang, Xiao-Long 1.98712782087118e-05
Kanazawa, Makoto 1.98712782087118e-05
Scheffler, Tatjana 3.48986647631654e-05
Hinojosa, Ezequiel Andujar 1.98712782087118e-05
Whyte, Bill 4.02105130410429e-05
Kushmerick, Nicholas 2.37532668104145e-05
Richardson, Stephen D. 0.000290633943982401
Mayfield, Laura 5.58064791484225e-05
Deg√≥rski, ≈Åukasz 1.98712782087118e-05
Chao, Wen-Han 1.98712782087118e-05
Tuggle, Francis D. 0.000107992283416275
Jensen, Karen 0.000956800818791171
Varma, Vasudeva 1.98712782087118e-05
Kennedy, Brandon 2.59012207612407e-05
Elworthy, David 0.000220427372395197
Zhao, Jinglei 1.98712782087118e-05
McNamee, Paul 9.13572704244002e-05
Kelly, Diane 3.08957565180235e-05
Sim, Chul-Min 1.98712782087118e-05
Patwardhan, Siddharth 0.000231474781214016
Sakamoto, Michelle 4.10770990745102e-05
Obrst, Leo 1.98712782087118e-05
Ishikawa, Hiroshi 1.98712782087118e-05
Marino, Massimo 1.98712782087118e-05
Fahlman, Scott E. 2.09092954039479e-05
Zaiss, Zachary 2.42538887465128e-05
Leong, Ka Seng 1.98712782087118e-05
Changning, Huang 1.98712782087118e-05
Chaumartin, Francois-Regis 2.4892318902382e-05
Wright, Jerry 8.05209275680064e-05
Diab, Mona T. 0.000357908256334854
Hayes, Philip J. 0.00137431443283515
Kibble, Rodger 0.000205541405902403
Tucker, Gordon H. 3.76754890580883e-05
Diekema, Anne R. 2.20840111858581e-05
Mooney, Raymond J. 0.000578805905241462
Wang, Houfeng 2.30333755292852e-05
Megyesi,  Be·ta 3.58347653836867e-05
Ravindran, Balaraman 1.98712782087118e-05
Lehman, Jill Fain 2.13332473759132e-05
Lizotte, Dan 2.89982607079873e-05
Mitjushin, Leonid 4.10987455419113e-05
Taylor, Tony 1.98712782087118e-05
Petitpierre, Dominique 2.92150423939953e-05
Givon, Sharon 1.98712782087118e-05
Siniakov, Peter 1.98712782087118e-05
Ehrlich, Ute 2.90972500895547e-05
Pulman, Stephen G. 0.000263911947835079
Wang, Zhen 1.98712782087118e-05
Costello, Fintan J. 2.44385615180306e-05
Wong, Yuk Wah 4.07550580695456e-05
Lee, John 5.3893100266722e-05
M, Sasikumar 1.98712782087118e-05
Mori, Renato De 1.98712782087118e-05
Planas, Emmanuel 2.90257757594682e-05
Harris, Larry R. 0.000147244952592809
Serafin, Riccardo 5.50286227101489e-05
Barker, Ken 0.000149560842730268
Pradhan, Sameer S. 0.000570993528944772
Cornu, Etienne 2.42284169033702e-05
Ellman, Jeremy 3.96957198765823e-05
Jiang, Hongfei 1.98712782087118e-05
Goncalves, M. R. 1.98712782087118e-05
Andry, Francois 0.000184803901314759
Xu, Jia 4.09004934041247e-05
McGillivray, Barbara 1.98712782087118e-05
Murdock, Vanessa 9.67205075780635e-05
Terken, Jacques 1.98712782087118e-05
Neumann, Guenter 1.98712782087118e-05
Gaudinat, Arnaud 2.0749984249808e-05
Hoffmann, Marcus 1.98712782087118e-05
Hendley, Robert J. 1.98712782087118e-05
Kamm, Candace A. 0.000239973181171217
Espinosa, Dominic 2.10341503767663e-05
Herring, Patrick 2.34360443028931e-05
Hara, Tadayoshi 3.6469862158141e-05
Jonsson, Arne 0.000129295291047092
Wilms, Geert Jan 1.98712782087118e-05
Kennedy, Alistair 1.98712782087118e-05
Guazzini, Elisabetta 3.56564543774845e-05
Takeuchi, Hironori 2.35642731439452e-05
Hernandez, Alvaro 1.98712782087118e-05
Bonneau-Maynard, HÈlËne 2.87024911760707e-05
Marchand, Yannick 4.39579608630573e-05
Zhang, Huipeng 2.30643953417026e-05
TAKAGI, Shinichiro 1.98712782087118e-05
Melero, Maite 5.6135529666759e-05
Suh, Sungki 3.13932385352346e-05
Grosz, Barbara J. 0.00416559177621541
Gibert, Karina 1.98712782087118e-05
Barnden, John A. 6.61796799390684e-05
Emerson, Thomas 0.000204832420465788
Romacker, Martin 5.37883237400137e-05
Fitzpatrick, Eileen 0.000183946901427154
Laskowski, Kornel 1.98712782087118e-05
Ulivieri, Marisa 4.5157068569701e-05
Yoshimura, Kenji 3.81299997035299e-05
Powers, David M. W. 7.11746433195316e-05
Ye, Shiren 5.73635337047742e-05
Lalanne, Denis 1.98712782087118e-05
Matthieu, Hebert 1.98712782087118e-05
Maurel, Denis 1.98712782087118e-05
Husain, Samar 1.98712782087118e-05
Fader, Anthony 3.51221667473238e-05
Cucerzan, Silviu 0.000362818783856049
Feinstein, Daniel 1.98712782087118e-05
Velupillai, Sumithra 1.98712782087118e-05
Hinkelman, Elizabeth A. 0.00021040880684438
Tsochantaridis, Ioannis 5.72907677184546e-05
Strandson, Krista 1.98712782087118e-05
Core, Mark G. 0.000111274928743866
Bennett, Andrew 1.98712782087118e-05
Fuentes, Maria 1.98712782087118e-05
Kakkonen, Tuomo 1.98712782087118e-05
Zhang, Ping 1.98712782087118e-05
Csendes, Dora 2.37253304753449e-05
Boitet, Christian 0.000994820474463282
Ruland, Tobias 2.5900765484283e-05
Morihiro, Koichiro 4.56077254689377e-05
Farley, Benoit 3.97214792477499e-05
Sanchez, Olivia 2.65241936302461e-05
Zhang, Ziqi 1.98712782087118e-05
Ramakrishnan, Naren 1.98712782087118e-05
Cepen, Stephan 4.46521202908538e-05
Montolio, Josep 5.09186576314132e-05
Johnson, Christopher 4.2482163005756e-05
Tomabechi, Hideto 0.000141620344452789
Feng, Yuanyong 2.61824096738706e-05
Niyogi, Sourabh 1.98712782087118e-05
Hunnicutt, M. Sharon 9.92295383341538e-05
Boras, Damir 1.98712782087118e-05
Liu, Shing-Huan 0.000266952249299132
Byrne, William J. 0.000333262517949079
ForƒÉscu, Corina 1.98712782087118e-05
Yang, Xiaofeng 0.00012765266069579
Afify, Mohamed 1.98904791273072e-05
Zhao, Qunhua 1.98712782087118e-05
Pang, Bo 0.000741267757502038
Crego, Josep M. 9.50545564270918e-05
Kotani, Yoshiyuki 1.98712782087118e-05
Landsbergen, S. P. J. 0.000151072248409666
Beckman, Mary E. 1.98712782087118e-05
Dahlback, Nils 0.000123652021698085
Nakadai, Kazuhiro 2.38131556287003e-05
Muurisep, Kaili 1.98712782087118e-05
Kentaro, TORISAWA 1.98712782087118e-05
Banchs, Rafael E. 9.96041275267019e-05
Sakai, Keiichi 1.98712782087118e-05
Otterbacher, Jahna C. 7.87229329152649e-05
Reckman, Hilke 1.98712782087118e-05
Ueffing, Nicola 0.000352048422594633
Yanagida, Masuzo 1.98712782087118e-05
Phillips, Jon 1.98712782087118e-05
Christoudias, C. Mario 2.13844975344597e-05
Zhang, Suxiang 2.11942149766412e-05
Markova, Penka 3.74810782032263e-05
Eugenio, Barbara Di 1.98712782087118e-05
Roberts, Susan 0.000114402063983345
Fan, Xiaozhong 2.53414112980103e-05
Cawsey, Alison 1.98712782087118e-05
Boggess, Lois 0.000116147235584056
Wu, Jian-Cheng 3.95401311278132e-05
Su, Weifeng 6.6614259514771e-05
Cumming, Susanna 3.57340833242473e-05
Heintz, Ilana 1.98712782087118e-05
Lee, Katherine 1.98712782087118e-05
Huang, Xiangji 5.01000057066055e-05
Torii, Manabu 4.63480588874938e-05
Masson, Nicolas 2.05990846330199e-05
Kermes, Hannah 2.82901692119972e-05
Cai, Jun Fu 1.98712782087118e-05
Raghupathy, Mridhula 1.98712782087118e-05
YingJu, Xia 1.98712782087118e-05
Paskaleva, Elena 4.42779224832363e-05
Leusch, Gregor 6.30370348043241e-05
Myers, Karen 0.000276913467278127
Hahn, Stefan 1.98712782087118e-05
Edmonds, Philip G. 0.000129419442353506
Swift, Mary 5.12971501952286e-05
Singh, Pawandeep 1.98712782087118e-05
Kanayama, Hiroshi 6.51206050375244e-05
Smrz, Pavel 1.98712782087118e-05
Regnier-Prost, Sylvie 9.95193175115059e-05
Hanna, Philip 1.98712782087118e-05
Yan, Su 1.98712782087118e-05
Dasgupta, Sajib 5.69134853373863e-05
Roux, Claude 2.25156304714753e-05
Ali, Mohammad Naveed 1.98712782087118e-05
Kanamaru, Toshiyuki 3.3343687776235e-05
Mori, Shinsuke 0.00025009951815528
Rusk, Gregory M. 2.9271592830839e-05
Bar-Haim, Roy 5.73548952672813e-05
Jorg, Brigitte 1.98904791273072e-05
Chotimongkol, Ananlada 1.98712782087118e-05
Martinez, Paloma 1.98712782087118e-05
Colosimo, Marc 2.36246540020005e-05
Bensaid, Amine 1.98712782087118e-05
Yoshida, Minoru 6.06086499190438e-05
Watanabe, Yotaro 2.97613199807087e-05
Barlow, Michael 1.98712782087118e-05
Husarciuc, Maria 1.98712782087118e-05
Settles, Burr 6.61105978930082e-05
Stys-Budzikowska, Margo 0.000326174039156634
Yang, Changhua 2.98322588532694e-05
Hwang, Yi-Gyu 1.98712782087118e-05
Yilmazel, Ozgur 2.20840111858581e-05
Hayes, Bruce 8.60140886979727e-05
Kononenko, I. S. 1.98712782087118e-05
Kokkinakis, George K. 0.00021739833064327
Webb, Nick 4.05321279563814e-05
Abdul, Mujibur 1.98712782087118e-05
Dymetman, Marc 0.000190228080379125
Wolf, Brian 1.98712782087118e-05
Wood, Mary McGee 0.000107590575413306
Langone, Helen 2.30344709284262e-05
Jochim, Charles 1.98712782087118e-05
Eisele, Andreas 0.000240814579249657
Hamabe, Ryoji 1.98712782087118e-05
Theofilidis, Axei 1.98712782087118e-05
Gupta, Deepa 2.88432537166214e-05
Tamarit, Vicent 1.98712782087118e-05
Lagarda, Antonio L. 2.18690516844786e-05
Greenwood, Mark A. 0.000110188717706627
Hecht-Nielsen, Robert 2.17443873453736e-05
Nogami, Hiroyasu 9.27029348994135e-05
Hsieh, Shu-kai 1.98712782087118e-05
Giachin, Egidio 0.000117217758800035
Dresher, Elan B. 1.98712782087118e-05
Pop, Horia F. 1.98712782087118e-05
Phillips, Brian 8.20207084507121e-05
Elhadad, Noemie 0.000166790852880463
Romanyshyn, Nicholas 1.98712782087118e-05
Roberts, Craige 1.98712782087118e-05
Wong, Pak-Kwong 2.24422072551431e-05
Xu, Zhiming 2.37347659030371e-05
Yabuta, Yukiko 1.98712782087118e-05
Lonsdale, Deryle 5.02510191338191e-05
Wy, Wei 5.80625202157737e-05
O'Sullivan, Donie 1.98712782087118e-05
Linden, Krister 2.72442015010621e-05
Crabbe, Benoit 2.07763525344669e-05
Sundararajan, Arun 2.89576960190966e-05
Evang, Kilian 1.98712782087118e-05
Tomokiyo, Mutsuko 7.29217275131536e-05
Sahlgren, Magnus 3.7161994261368e-05
Maks, Isa 2.1646999651526e-05
Towns, Stuart G. 1.98712782087118e-05
Kazantseva, Anna 2.53950792456671e-05
Yoon, SinWon 1.98712782087118e-05
Ma, Qing 0.000131049902255182
Krymolowski, Yuval 0.000325632434286199
Duchier, Denys 0.00010613605906625
Buczynski, Aleksander 2.12890884400013e-05
Whitton, Laura 1.98712782087118e-05
Butters, Jonathan 1.98712782087118e-05
Kosy, Donald W. 3.09425083221162e-05
IBEKWE-SANJUAN, Fidelia 1.98712782087118e-05
He, Yanxiang 1.98712782087118e-05
Ishii, Masayuki 2.13066713846637e-05
Utiyama, Masao 0.000163814627883146
Lippincott, Tom 1.98712782087118e-05
Rieger III, Charles J. 0.000135602286839331
Markovitch, Shaul 0.000444313908945692
Gispert, Adria†De 1.98712782087118e-05
Cooper, Martin C. 3.98586062422106e-05
Kim, Mi-Young 2.80605464222146e-05
Ro, Atle 1.98712782087118e-05
Neto, Jo„o Paulo 1.98712782087118e-05
Mokrane, Abdenour 1.98712782087118e-05
Zhang, Byoung-Tak 7.77989660146758e-05
Dechelotte, Daniel 3.23332240223026e-05
Amir, Amihood 2.14903378475045e-05
Kemper, Brian 1.98712782087118e-05
Tikuisis, Aaron 7.42186048521679e-05
Deyne, Simon De 1.98712782087118e-05
Rouaix, Francois 1.98712782087118e-05
Caldwell, David E. 7.48499862621198e-05
Ahn, Jung-Ho 2.25040899064033e-05
Netzer, Yael Dahan 2.85977489995316e-05
Kim, Woosung 4.73534227149299e-05
Bancarz, Iain 1.98712782087118e-05
Stellato, Armando 1.98712782087118e-05
Fitzgerald, Erin 4.01232629647418e-05
Sanders, Eric 1.98712782087118e-05
Breck, Eric 0.000295511077812063
Tonoike, Masatsugu 4.11196316181254e-05
Chen, Yi-Rong 1.98712782087118e-05
Moser, Megan 0.000286543875674087
Kaalep, Heiki Jaan 2.80888983235428e-05
Watanabe, Satoru 1.98712782087118e-05
Ma, Nian Li 1.98712782087118e-05
Cromieres, Fabien 1.98712782087118e-05
Callaghan, Paul 5.71643631564716e-05
Crysmann, Berthold 0.000115383847884685
Joubert, Alain 1.98712782087118e-05
Ceausu, Alexandru 3.88012302756448e-05
Gorjanc, Vojko 1.98712782087118e-05
Ding, Zhuoye 1.98712782087118e-05
Nieflen, S. 1.98712782087118e-05
Wu, Zhibiao 0.000112650730553412
Petrick, Stanley R. 7.2147502317398e-05
Soltau, Hagen 4.19424011656804e-05
Kim, Youngwhan 3.22915056441844e-05
Doweling, John 0.000181802340392499
Niehren, Joachim 7.18881307201551e-05
Gillick, Dan 5.77293963103693e-05
Korycinski, Chris 2.97526913473755e-05
Kim, Kyoung-Young 1.98712782087118e-05
Kemighan, Mark D. 0.000321371505368705
Barnden, J.A. 1.98712782087118e-05
Saetre, Rune 1.98712782087118e-05
Chakravarthy, Anil S. 1.98712782087118e-05
Evett, Lindsay J. 2.87212307957243e-05
Chan, Chorkin 3.26654304125372e-05
Pfister, Beat 1.98712782087118e-05
Chen, Bin 1.98712782087118e-05
Staudacher, Peter 2.50565850956702e-05
Cox, Stephen 1.98712782087118e-05
Rashwan, Mohsen 1.98712782087118e-05
Satoh, Masayuki 9.49805292691332e-05
Sheremetyeva, Svetlana 1.98712782087118e-05
Piskorski, Jakub 0.000134608688371479
Roy, Nicholas 6.94302340191251e-05
Silverman, Kim E. A. 4.52849444910728e-05
Lopez-Lopez, Aurelio 1.98712782087118e-05
Liu, PengYuan 1.98712782087118e-05
Russell, William 4.14178617328565e-05
Berger, Adam L. 0.00256291303765584
Soloman, Danny 1.98712782087118e-05
Moraes, Silvia 1.98712782087118e-05
Roark, Brian 0.000594642295667942
Van Compernolle, Dirk 1.98712782087118e-05
Lappin, Shalom 0.00074722827019579
Braun, Gunter 1.98712782087118e-05
Ali, Syed S. 2.73458240789458e-05
Van Deemter, Kees 0.000205442059187119
Kosmala, Margaret 5.80625202157737e-05
Yu, Liang-Chih 2.97000441791072e-05
Ozgencil, Necati Ercan 2.51074428820717e-05
Lin, Wen-Cheng 2.30428034559613e-05
Hemphill, Charles T. 0.000745850168022957
Ould Abdel Vetah, Mohamed 2.07010688050407e-05
Laippala, Veronika 4.28250682107231e-05
Monachesi, Paola 3.76348945353892e-05
L¸, Yajuan 2.40447921560538e-05
McClanahan, Peter 3.50549141161709e-05
Tucker, Allen B. 3.73387313164543e-05
Fernandez, Gabriela 1.98712782087118e-05
Na, Ye 1.98712782087118e-05
Katz, Phil 1.98712782087118e-05
Renz, Ingrid 5.57211305951219e-05
Favre, Benoit 2.26641967556592e-05
Kikui, Gen-Itiro 3.41277630009861e-05
Parlikar, Alok 1.98712782087118e-05
Dimitriadis, Alexis 2.38205583689091e-05
Demetriou, George C. 1.98712782087118e-05
Pantel, Patrick 0.000550411953439358
Bork, Peer 2.94177717032475e-05
CastellÛn, Irene 1.98712782087118e-05
Frank, Robert 7.32448673513711e-05
Marziali, A. 1.98712782087118e-05
Lowery, Kirk 1.98712782087118e-05
Pianta, Dorcas 3.75083089571249e-05
Amano, Shin-Ya 0.000121046318602333
Nahamoo, David 4.14653132417751e-05
Tanabe, Lorraine 5.85794860898531e-05
Nicholl, Sheldon 7.6094503164098e-05
Engelberg, Klaus-Jurgen 1.98712782087118e-05
Bond, Francis 0.000234406475599318
Kalita, Jugal K. 0.000102430806247094
Bertagna, Francesca 4.31089504571267e-05
Tantug, Ahmet Cuneyd 1.98712782087118e-05
Candito, Marie-Helene 0.000147210211903304
Iria, Jose 1.98712782087118e-05
Menzel, Wolfgang 0.000148000286488297
Constant, Matthieu 1.98712782087118e-05
DÈsilets, Alain 1.98712782087118e-05
Schwarm, Sarah E. 8.71395193441422e-05
Schoenmackers, Stefan 3.62859450173184e-05
Vyas, Vishnu 1.98712782087118e-05
Goweder, Abduelbaset 1.98712782087118e-05
Gulla, Jon Atle 1.98712782087118e-05
Thabet, Naglaa 1.98712782087118e-05
Rackow, Ulrike 3.17209594588348e-05
Barnard, Kobus 1.98712782087118e-05
Ghassem-Sani, Gholamreza 1.98712782087118e-05
Lee, Do-Gil 4.34940156455636e-05
Kweon, Cheoljung 6.35356991044827e-05
Timimi, Ismail 1.98712782087118e-05
Almuhareb, Abdulrahman 5.75345569891545e-05
Kuppin, Michael A. 1.98712782087118e-05
Pack, Daniel 1.98712782087118e-05
Boisen, Sean 0.00147729870858901
Kinyon, Alexandra 0.000111645605308872
Lyon, Caroline 4.38209195852891e-05
Chao, Chih-Yu 1.98712782087118e-05
Hjalmarsson, Anna 1.98712782087118e-05
Williams, Sandra 2.21604987633259e-05
Zavrel, Jakub 0.000583122196582844
Liu, John S. 1.98712782087118e-05
Lendvai, Piroska 1.98712782087118e-05
Schwartz, Richard M. 0.00318223520205007
Root, Rebecca 3.46101885248386e-05
Tisher, Gordon 1.98712782087118e-05
Glover, Bonnie 0.000169646225182472
VanLehn, Kurt 0.000106564544098703
Jung, Sangkeun 1.98904791273072e-05
Blois, Marsden S. 0.000156195503076757
Kaiser, Elsi 1.98712782087118e-05
Goodman, Joshua 0.000686423012837589
Gaoying, Cui 1.98712782087118e-05
Qiu, Likun 1.98712782087118e-05
Teeraparbseree, Aree 1.98712782087118e-05
Gemello, Roberto 2.07382085986743e-05
Theodorakos, Aris 1.98712782087118e-05
Nicholson, Jeremy 2.65038503756817e-05
Malouf, Robert 0.000413991759107999
Ribarov, Kiril 0.000201005691353871
Das, Sujatha 3.24982707253013e-05
Vlachos, Andreas 5.03706744598223e-05
Yuan, Caixia 1.98712782087118e-05
Way, Andy 0.000190704605376191
Zinn, Claus 4.58938738736008e-05
Gyimothy, Tibor 2.87061060778971e-05
Hendler, James A. 2.57974834953259e-05
Kuba, Andras 2.21575408320507e-05
Weiss, Brian 1.98712782087118e-05
Lafferty, John D. 0.00362597888888344
Day, David S. 0.000786297611874239
Besacier, Laurent 1.98904791273072e-05
Shinmori, Akihiro 1.98712782087118e-05
Shinohara, Yaushi 2.38151073849109e-05
Kruijff, Geert-Jan M. 0.00014963397925061
Zubarev, Irine 4.67191497467627e-05
FERRET, Olivier 1.98712782087118e-05
Mota, Cristina 7.83911637411979e-05
Wang, Bo 1.98712782087118e-05
Isenhour, Phil 3.17149002955114e-05
McCullough, Daryl 3.17476771272827e-05
Creaney, Norman 3.16298808581462e-05
Terney, Thomas Vestskov 1.98712782087118e-05
Xiong, Deyi 0.000108409343454952
Wang, Xinglong 3.80031723222115e-05
Artola, Xabier 5.68481665293943e-05
Ten Hacken, Pius 4.25793840332829e-05
Lyon, Richard F. 4.42923854382832e-05
Huang, Bryant 3.77505174557579e-05
Paris, Cecile L. 0.00104282829900089
Vicedo, Jose Luis 1.98712782087118e-05
Zhang, Yajing 1.98712782087118e-05
Juola, Patrick 1.98712782087118e-05
Ruopp, Achim 3.83509161368392e-05
Lopez, Vicente 1.98712782087118e-05
Johansson Kokkinakis, Sofie 2.30358697101457e-05
Uchida, Kazami 3.47765451772266e-05
McCaw, John 2.69032570010298e-05
Hutchinson, Ben 1.98712782087118e-05
Oflazer, Kemal 0.000512205059947292
Abekawa, Takeshi 3.57339418244112e-05
Witte, RenÈ 1.98712782087118e-05
Schuman, Jonathan 2.44840162209399e-05
Mills, Russell 1.98712782087118e-05
Biller, Ofer 2.62151490254781e-05
Bunt, Harry C. 0.000111161671395416
Magadur, Jean-Yves 1.98712782087118e-05
Clark, Alexander 0.000376370390311552
SÈbillot, Pascale 1.98712782087118e-05
Crystal, Michael 0.000228726794099402
Wang, Ye-Yi 0.000167211026991879
Yasunaga, Hisashi 1.98712782087118e-05
Moia, Telmo 2.83613279670296e-05
Watson, Bruce W. 0.000150723612583254
Yamada, Seiji 2.94984601338406e-05
Jiang, Wei 2.13288250473446e-05
Houston, Ann 0.000108142819738502
Rolbert, Monique 1.98712782087118e-05
Pecourt, Elsa 1.98712782087118e-05
Ehsani, Farzad 1.98904791273072e-05
Buczy≈Ñski, Aleksander 1.98712782087118e-05
HirsimaKi, Teemu 2.73640966638196e-05
Cherny, Lynn 0.00039304092830884
Nakanishi, Masakazu 5.19481127646353e-05
Giouli, V. 2.02611015094966e-05
Young, S. J. 5.69367341122653e-05
Geleijnse, Gijs 2.41109273424752e-05
Verhagen, Marc 0.000134431186605214
Lau, Monica 1.98712782087118e-05
Bryant, Michael 0.000122723418565947
Chickering, Max 2.5912039711717e-05
Kim, Dongil 1.98712782087118e-05
HenrÌquez Q., Carlos A. 1.98712782087118e-05
Binkowski, Ed 2.32895096797524e-05
Fong, Sandiway 7.05393373419773e-05
Regneri, Michaela 2.18785749000003e-05
Kubon, Vladislav 0.000131461827581582
Yvon, FranÁois 3.36343881793318e-05
De Freitas, Nando 2.24324324365149e-05
Zoeppritz, Magdalena 0.000114577782889487
Shirai, Katsuhiko 3.96730783134595e-05
Steele, Elizabeth 4.7901314738851e-05
Seki, Yohei 1.98712782087118e-05
Huang, Degen 2.77103589954275e-05
Manganaro, Linda 4.7901314738851e-05
Deligne, Sabine 1.98712782087118e-05
Liu, Key-Long 1.98712782087118e-05
Hall, Tasha 3.80629052323611e-05
Dahl, Deborah A. 0.000895359807583734
Mrakova, Eva 2.35642731439452e-05
Carroll, John A. 0.00150793372134573
Babych, Bogdan 8.07631424172242e-05
Yuan, Qi 1.98712782087118e-05
Soria, Claudia 4.28642241328267e-05
Roa, Sergio 1.98712782087118e-05
Pinto, David 1.98712782087118e-05
Hulden, Mans 1.98712782087118e-05
O'Hara, Thomas P. 0.000309915677501766
Montalvo, Soto 1.98712782087118e-05
Nakanishi, Ryuichi 1.98712782087118e-05
Miyanaga, Yoshikazu 1.98712782087118e-05
Davidov, Dmitry 5.97948382376528e-05
